filename,width,height,class,xmin,ymin,xmax,ymax
frame0048.png,640,360,robot,366,42,407,111
frame0048.png,640,360,robot,143,68,171,116
frame0048.png,640,360,robot,45,71,80,131
frame0048.png,640,360,robot,527,25,569,127
frame0048.png,640,360,ball,357,99,375,118
frame0049.png,640,360,robot,168,55,196,103
frame0049.png,640,360,robot,70,59,105,119
frame0049.png,640,360,ball,378,80,396,99
frame0049.png,640,360,robot,550,1,596,105
frame0049.png,640,360,robot,387,27,432,96
frame0050.png,640,360,robot,191,47,219,95
frame0050.png,640,360,robot,95,48,130,108
frame0050.png,640,360,robot,410,15,454,91
frame0050.png,640,360,robot,575,0,626,106
frame0050.png,640,360,ball,400,79,418,97
frame0051.png,640,360,robot,213,92,241,140
frame0051.png,640,360,robot,126,95,156,151
frame0051.png,640,360,robot,435,53,473,134
frame0051.png,640,360,robot,595,38,640,147
frame0051.png,640,360,ball,420,120,438,138
frame0052.png,640,360,robot,494,27,539,107
frame0052.png,640,360,ball,478,91,496,109
frame0053.png,640,360,robot,474,21,516,105
frame0053.png,640,360,ball,454,84,472,102
frame0054.png,640,360,robot,245,34,266,80
frame0054.png,640,360,robot,155,26,180,82
frame0054.png,640,360,robot,466,27,508,105
frame0054.png,640,360,ball,447,90,465,108
frame0055.png,640,360,robot,234,46,259,92
frame0055.png,640,360,robot,144,34,172,92
frame0055.png,640,360,robot,609,78,640,172
frame0055.png,640,360,robot,452,47,494,129
frame0055.png,640,360,ball,436,110,454,128
frame0056.png,640,360,robot,215,73,243,127
frame0056.png,640,360,robot,119,60,150,118
frame0056.png,640,360,robot,566,142,629,239
frame0056.png,640,360,robot,422,101,464,183
frame0056.png,640,360,ball,402,159,422,182
frame0057.png,640,360,robot,205,122,229,163
frame0057.png,640,360,robot,114,94,144,156
frame0057.png,640,360,robot,564,168,622,268
frame0057.png,640,360,robot,418,141,460,215
frame0057.png,640,360,ball,398,195,417,215
frame0058.png,640,360,robot,190,115,214,156
frame0058.png,640,360,robot,98,90,129,147
frame0058.png,640,360,robot,542,164,596,262
frame0058.png,640,360,robot,402,135,444,209
frame0058.png,640,360,ball,381,188,400,209
frame0059.png,640,360,robot,162,111,188,151
frame0059.png,640,360,robot,65,81,99,139
frame0059.png,640,360,robot,508,170,562,268
frame0059.png,640,360,robot,370,141,412,211
frame0059.png,640,360,ball,351,189,370,210
frame0060.png,640,360,robot,154,103,180,143
frame0060.png,640,360,robot,55,71,90,130
frame0060.png,640,360,robot,500,170,554,268
frame0060.png,640,360,robot,366,139,406,209
frame0060.png,640,360,ball,345,189,363,206
frame0061.png,640,360,robot,154,106,180,146
frame0061.png,640,360,robot,55,73,90,132
frame0061.png,640,360,robot,498,177,552,275
frame0061.png,640,360,robot,366,143,406,213
frame0061.png,640,360,ball,345,194,363,213
frame0062.png,640,360,robot,158,112,184,152
frame0062.png,640,360,robot,61,81,96,140
frame0062.png,640,360,robot,508,177,562,275
frame0062.png,640,360,robot,368,147,408,217
frame0062.png,640,360,ball,351,195,369,214
frame0063.png,640,360,robot,171,121,197,161
frame0063.png,640,360,robot,79,97,110,153
frame0063.png,640,360,robot,526,167,580,265
frame0063.png,640,360,robot,386,143,426,213
frame0063.png,640,360,ball,368,194,386,213
frame0064.png,640,360,robot,182,123,208,163
frame0064.png,640,360,robot,88,102,121,158
frame0064.png,640,360,robot,538,154,591,252
frame0064.png,640,360,robot,396,133,436,205
frame0064.png,640,360,ball,377,188,395,206
frame0065.png,640,360,robot,194,126,220,166
frame0065.png,640,360,robot,101,112,134,168
frame0065.png,640,360,robot,560,133,611,231
frame0065.png,640,360,robot,410,119,450,195
frame0065.png,640,360,ball,391,180,409,198
frame0066.png,640,360,robot,201,128,227,168
frame0066.png,640,360,robot,108,118,141,174
frame0066.png,640,360,robot,570,115,621,213
frame0066.png,640,360,robot,418,111,458,183
frame0066.png,640,360,ball,401,169,418,187
frame0067.png,640,360,robot,210,129,235,168
frame0067.png,640,360,robot,120,126,151,182
frame0067.png,640,360,robot,582,88,634,187
frame0067.png,640,360,robot,426,99,466,171
frame0067.png,640,360,ball,411,158,428,176
frame0068.png,640,360,robot,204,131,230,170
frame0068.png,640,360,robot,112,126,144,182
frame0068.png,640,360,robot,574,94,626,193
frame0068.png,640,360,robot,420,101,460,173
frame0068.png,640,360,ball,406,162,423,180
frame0069.png,640,360,robot,201,129,227,168
frame0069.png,640,360,robot,110,124,142,180
frame0069.png,640,360,robot,569,94,621,193
frame0069.png,640,360,robot,418,101,458,173
frame0069.png,640,360,ball,402,161,419,179
frame0070.png,640,360,robot,200,129,226,168
frame0070.png,640,360,robot,108,123,140,179
frame0070.png,640,360,robot,568,98,622,198
frame0070.png,640,360,robot,416,105,456,177
frame0070.png,640,360,ball,401,163,418,181
frame0071.png,640,360,robot,200,127,226,166
frame0071.png,640,360,robot,108,118,140,174
frame0071.png,640,360,robot,537,20,640,317
frame0071.png,640,360,robot,566,100,620,200
frame0071.png,640,360,robot,416,107,456,179
frame0071.png,640,360,ball,400,164,417,182
frame0072.png,640,360,robot,200,128,226,167
frame0072.png,640,360,robot,106,117,138,173
frame0072.png,640,360,robot,509,33,640,343
frame0072.png,640,360,robot,416,107,456,179
frame0072.png,640,360,ball,400,166,416,184
frame0073.png,640,360,robot,198,127,224,166
frame0073.png,640,360,robot,104,118,136,174
frame0073.png,640,360,robot,489,60,639,359
frame0073.png,640,360,robot,414,109,454,181
frame0073.png,640,360,ball,398,166,414,184
frame0074.png,640,360,robot,197,127,223,166
frame0074.png,640,360,robot,103,118,135,174
frame0074.png,640,360,robot,480,69,639,359
frame0074.png,640,360,robot,414,109,454,181
frame0074.png,640,360,ball,397,168,413,186
frame0075.png,640,360,robot,196,131,222,170
frame0075.png,640,360,robot,104,120,136,176
frame0075.png,640,360,robot,470,69,639,359
frame0075.png,640,360,robot,414,113,454,185
frame0075.png,640,360,ball,397,171,413,189
frame0076.png,640,360,robot,197,133,223,172
frame0076.png,640,360,robot,104,122,136,178
frame0076.png,640,360,robot,414,115,454,187
frame0076.png,640,360,ball,398,174,414,192
frame0077.png,640,360,robot,197,131,223,170
frame0077.png,640,360,robot,105,122,137,178
frame0077.png,640,360,ball,399,174,415,192
frame0079.png,640,360,robot,125,115,157,171
frame0079.png,640,360,robot,533,38,640,360
frame0079.png,640,360,robot,434,100,472,178
frame0079.png,640,360,ball,416,164,434,182
frame0080.png,640,360,robot,446,88,484,166
frame0080.png,640,360,ball,429,151,447,169
frame0081.png,640,360,robot,132,100,164,157
frame0081.png,640,360,robot,539,16,640,360
frame0081.png,640,360,robot,442,86,480,164
frame0081.png,640,360,ball,423,150,441,168
frame0082.png,640,360,robot,234,149,262,191
frame0082.png,640,360,robot,147,150,179,207
frame0082.png,640,360,robot,567,24,640,360
frame0082.png,640,360,robot,452,100,492,178
frame0082.png,640,360,ball,438,168,456,186
frame0083.png,640,360,robot,248,156,273,196
frame0083.png,640,360,robot,160,154,192,211
frame0083.png,640,360,robot,579,37,640,360
frame0083.png,640,360,robot,466,112,504,190
frame0083.png,640,360,ball,451,178,469,196
